implementation,num_of_particles,steps,dt,worker_count,num_chunks,total_runtime_s,interactions,interactions_per_s
multiprocessing,200,1,0.01,4,16,0.0789078329980839,39800,504385.92073573294
multiprocessing,200,5,0.01,4,16,0.08982545899925753,199000,2215407.5494525987
multiprocessing,200,10,0.01,4,16,0.10586645799776306,398000,3759453.2539136205
multiprocessing,500,1,0.01,4,16,0.09683433300233446,249500,2576565.4831740838
multiprocessing,500,5,0.01,4,16,0.1525379589984368,1247500,8178292.198158913
multiprocessing,500,10,0.01,4,16,0.22301666699786438,2495000,11187504.654187538
multiprocessing,10,1,0.01,4,32,0.07907374999922467,90,1138.1779667826866
multiprocessing,10,5,0.01,4,32,0.09051449999969918,450,4971.579139270454
multiprocessing,10,10,0.01,4,32,0.09179299999959767,900,9804.669201398197
multiprocessing,50,1,0.01,4,32,0.08521200000177487,2450,28751.81899203128
multiprocessing,50,5,0.01,4,32,0.08126770899980329,12250,150736.37673272728
multiprocessing,50,10,0.01,4,32,0.08675687499999185,24500,282398.3690053647
multiprocessing,100,1,0.01,4,32,0.07827050000196323,9900,126484.4353843617
multiprocessing,100,5,0.01,4,32,0.0827879579992441,49500,597913.0443155991
multiprocessing,100,10,0.01,4,32,0.0860253749997355,99000,1150823.2309397592
multiprocessing,200,1,0.01,4,32,0.08037666599921067,39800,495168.58537514915
multiprocessing,200,5,0.01,4,32,0.09385829199891305,199000,2120217.572276987
multiprocessing,200,10,0.01,4,32,0.10886641700199107,398000,3655856.5162727907
multiprocessing,500,1,0.01,4,32,0.10185254200041527,249500,2449619.7650028486
multiprocessing,500,5,0.01,4,32,0.15000191599756363,1247500,8316560.436603105
multiprocessing,500,10,0.01,4,32,0.22357587499936926,2495000,11159522.466397766
multiprocessing,10,1,0.01,8,8,0.08659179199821665,90,1039.3594811140244
multiprocessing,10,5,0.01,8,8,0.09013833299832186,450,4992.326627655493
multiprocessing,10,10,0.01,8,8,0.09331037500305683,900,9645.229696810415
multiprocessing,50,1,0.01,8,8,0.09088420800253516,2450,26957.378557247906
multiprocessing,50,5,0.01,8,8,0.1012595419997524,12250,120976.25328020893
multiprocessing,50,10,0.01,8,8,0.09471862499776762,24500,258660.84944304702
multiprocessing,100,1,0.01,8,8,0.08916300000055344,9900,111032.60320916244
multiprocessing,100,5,0.01,8,8,0.1023923749999085,49500,483434.43542592146
multiprocessing,100,10,0.01,8,8,0.11255516700111912,99000,879568.6829642896
multiprocessing,200,1,0.01,8,8,0.0990505830013717,39800,401814.8989536874
multiprocessing,200,5,0.01,8,8,0.0937625830010802,199000,2122381.803386404
multiprocessing,200,10,0.01,8,8,0.10321299999850453,398000,3856103.397883665
multiprocessing,500,1,0.01,8,8,0.09515129200008232,249500,2622139.9074621513
multiprocessing,500,5,0.01,8,8,0.1276363750002929,1247500,9773859.528658168
multiprocessing,500,10,0.01,8,8,0.17422816600083024,2495000,14320302.263803378
multiprocessing,10,1,0.01,8,16,0.07962216600208194,90,1130.3385039493487
multiprocessing,10,5,0.01,8,16,0.09402841699920828,450,4785.787258375189
multiprocessing,10,10,0.01,8,16,0.09617333300047903,900,9358.1034567609
multiprocessing,50,1,0.01,8,16,0.08175370900062262,2450,29968.059308249136
multiprocessing,50,5,0.01,8,16,0.08483008400071412,12250,144406.3169841595
multiprocessing,50,10,0.01,8,16,0.089489500001946,24500,273775.1356244837
multiprocessing,100,1,0.01,8,16,0.08179112499783514,9900,121040.0272677755
multiprocessing,100,5,0.01,8,16,0.08604895899770781,49500,575253.9086651657
multiprocessing,100,10,0.01,8,16,0.09162154200021178,99000,1080531.9124597486
multiprocessing,200,1,0.01,8,16,0.08378245800122386,39800,475039.7750256816
multiprocessing,200,5,0.01,8,16,0.0923430830007419,199000,2155007.1053876467
multiprocessing,200,10,0.01,8,16,0.102535916998022,398000,3881566.690505901
multiprocessing,500,1,0.01,8,16,0.09339537499909056,249500,2671438.4947052198
multiprocessing,500,5,0.01,8,16,0.14254162500219536,1247500,8751829.509315519
multiprocessing,500,10,0.01,8,16,0.16567345799921895,2495000,15059744.814475728
multiprocessing,10,1,0.01,8,32,0.08192616700034705,90,1098.5501128060678
multiprocessing,10,5,0.01,8,32,0.08524983300230815,450,5278.602715712254
multiprocessing,10,10,0.01,8,32,0.0899637080001412,900,10004.034071145528
multiprocessing,50,1,0.01,8,32,0.09695787499731523,2450,25268.70561125479
multiprocessing,50,5,0.01,8,32,0.0889529579981172,12250,137713.2393985064
multiprocessing,50,10,0.01,8,32,0.0915755829992122,24500,267538.56429405167
multiprocessing,100,1,0.01,8,32,0.08241491700027836,9900,120123.88485408001
multiprocessing,100,5,0.01,8,32,0.08762979099992663,49500,564876.3900400201
multiprocessing,100,10,0.01,8,32,0.09471504199973424,99000,1045240.5226223496
multiprocessing,200,1,0.01,8,32,0.08448741599931964,39800,471076.0712615533
multiprocessing,200,5,0.01,8,32,0.09245604100215132,199000,2152374.2293418073
multiprocessing,200,10,0.01,8,32,0.10335633399881772,398000,3850755.774721583
multiprocessing,500,1,0.01,8,32,0.0923828750019311,249500,2700716.9888876555
multiprocessing,500,5,0.01,8,32,0.12551662500118255,1247500,9938922.433488367
multiprocessing,500,10,0.01,8,32,0.1659683750003751,2495000,15032984.446551105
multiprocessing,10,1,0.01,8,64,0.11635904099966865,90,773.4680453430025
multiprocessing,10,5,0.01,8,64,0.10026295900024706,450,4488.197879726362
multiprocessing,10,10,0.01,8,64,0.09391983399837045,900,9582.64044648562
multiprocessing,50,1,0.01,8,64,0.08288916699893889,2450,29557.541578760996
multiprocessing,50,5,0.01,8,64,0.10214875000019674,12250,119923.15128649549
multiprocessing,50,10,0.01,8,64,0.11037199999918812,24500,221976.58826677254
multiprocessing,100,1,0.01,8,64,0.09433266700216336,9900,104947.73777330985
multiprocessing,100,5,0.01,8,64,0.09320220800145762,49500,531103.297458638
multiprocessing,100,10,0.01,8,64,0.10603558299771976,99000,933648.8488220879
multiprocessing,200,1,0.01,8,64,0.08793854100076715,39800,452588.81426805566
multiprocessing,200,5,0.01,8,64,0.09639183400213369,199000,2064490.2346768817
multiprocessing,200,10,0.01,8,64,0.10742587499771616,398000,3704880.2256296384
multiprocessing,500,1,0.01,8,64,0.09828033300073002,249500,2538656.436971441
multiprocessing,500,5,0.01,8,64,0.15918999999848893,1247500,7836547.521903647
multiprocessing,500,10,0.01,8,64,0.40016825000202516,2495000,6234877.454639076
